Date;Libelle;Compte;Libelle du compte;Debit;Credit
01/01/2025;Google GSUITE_davai.co;613600;Abonnements logiciels;6,90;0,00
01/01/2025;Google GSUITE_davai.co;445610;TVA deductible;1,38;0,00
01/01/2025;Google GSUITE_davai.co;512001;Banque 1;0,00;8,28
01/01/2025;RENDER.COM;512001;Banque 1;0,00;54,13
01/01/2025;RENDER.COM;445610;TVA deductible;9,02;0,00
01/01/2025;RENDER.COM;613500;Location de materiel;45,11;0,00
02/01/2025;Card transaction in foreign currency - SWAN;512001;Banque 1;0,00;1,08
02/01/2025;Card transaction in foreign currency - SWAN;627000;Services bancaires;1,08;0,00
07/01/2025;APPLE.COM/BILL;445610;TVA deductible;1,20;0,00
07/01/2025;APPLE.COM/BILL;512001;Banque 1;0,00;7,19
07/01/2025;APPLE.COM/BILL;613600;Abonnements logiciels;5,99;0,00
06/01/2025;A M V;445610;TVA deductible;134,17;0,00
06/01/2025;A M V;512001;Banque 1;0,00;805,00
06/01/2025;A M V;625200;Vehicule et carburant;670,83;0,00
09/01/2025;Facture d'acompte 202501-7 - Radiostar, Inc.;419100;Acomptes;0,00;1320,00
09/01/2025;Facture d'acompte 202501-7 - Radiostar, Inc.;411000;Clients;1320,00;0,00
10/01/2025;/INV/F5092315/0087537021 //20250103-SAGR4 - TOTALENERGIES MARKETING FRANCE;445610;TVA deductible;0,09;0,00
10/01/2025;/INV/F5092315/0087537021 //20250103-SAGR4 - TOTALENERGIES MARKETING FRANCE;445610;TVA deductible;22,58;0,00
10/01/2025;/INV/F5092315/0087537021 //20250103-SAGR4 - TOTALENERGIES MARKETING FRANCE;625200;Vehicule et carburant;112,91;0,00
10/01/2025;/INV/F5092315/0087537021 //20250103-SAGR4 - TOTALENERGIES MARKETING FRANCE;625200;Vehicule et carburant;1,61;0,00
10/01/2025;/INV/F5092315/0087537021 //20250103-SAGR4 - TOTALENERGIES MARKETING FRANCE;512001;Banque 1;0,00;137,19
09/01/2025;Microsoft-G073510672;613600;Abonnements logiciels;42,35;0,00
09/01/2025;Microsoft-G073510672;512001;Banque 1;0,00;50,82
09/01/2025;Microsoft-G073510672;445610;TVA deductible;8,47;0,00
09/01/2025;MICROSOFT#G073843110;613600;Abonnements logiciels;32,42;0,00
09/01/2025;MICROSOFT#G073843110;512001;Banque 1;0,00;38,90
09/01/2025;MICROSOFT#G073843110;445610;TVA deductible;6,48;0,00
10/01/2025;Account de 30. pour mission dev webappmob - THUNDER INVEST;411000;Clients;0,00;1320,00
10/01/2025;Account de 30. pour mission dev webappmob - THUNDER INVEST;512001;Banque 1;1320,00;0,00
10/01/2025;CLAUDE.AI SUBSCRIPTION;512001;Banque 1;0,00;18,00
10/01/2025;CLAUDE.AI SUBSCRIPTION;445610;TVA deductible;3,00;0,00
10/01/2025;CLAUDE.AI SUBSCRIPTION;613600;Abonnements logiciels;15,00;0,00
10/01/2025;MY POS TAXI;512001;Banque 1;0,00;37,10
10/01/2025;MY POS TAXI;445610;TVA deductible;3,37;0,00
10/01/2025;MY POS TAXI;625100;Frais de deplacements;33,73;0,00
13/01/2025;Microsoft-G074413051;445610;TVA deductible;1,88;0,00
13/01/2025;Microsoft-G074413051;512001;Banque 1;0,00;11,28
13/01/2025;Microsoft-G074413051;613600;Abonnements logiciels;9,40;0,00
12/01/2025;SMALLPDF;613600;Abonnements logiciels;8,33;0,00
12/01/2025;SMALLPDF;445610;TVA deductible;1,67;0,00
12/01/2025;SMALLPDF;512001;Banque 1;0,00;10,00
13/01/2025;OPENAI *CHATGPT SUBSCR;512001;Banque 1;0,00;19,58
13/01/2025;OPENAI *CHATGPT SUBSCR;445610;TVA deductible;3,26;0,00
13/01/2025;OPENAI *CHATGPT SUBSCR;613600;Abonnements logiciels;16,32;0,00
13/01/2025;Card transaction in foreign currency - SWAN;627000;Services bancaires;0,39;0,00
13/01/2025;Card transaction in foreign currency - SWAN;512001;Banque 1;0,00;0,39
10/01/2025;MAITRE DATTIER;445610;TVA deductible;5,00;0,00
10/01/2025;MAITRE DATTIER;512001;Banque 1;0,00;54,99
10/01/2025;MAITRE DATTIER;625700;Restaurants et repas d'affaires;49,99;0,00
